food_name,calories,protein_g,fat_g,carbs_g,fibre_g
"Cardamom seed, dried, ground",295.4110898661568,10.8,6.7,34.4,28.0
"Cinnamon, dried, ground",239.96175908221795,4.0,1.2,27.5,53.1
"Chilli (chili), dried, ground",292.5430210325048,12.3,14.3,12.9,34.2
"Cloves, dried, ground",331.9789674952199,6.0,13.0,31.6,33.9
"Coriander seed, dried, ground",321.22370936902485,12.4,17.8,8.4,41.9
"Cumin (cummin) seed, dried, ground",425.9082217973231,17.8,22.3,33.7,10.5
Curry powder,294.21606118546845,14.3,14.0,2.8,53.2
"Fenugreek seed, dried",258.1261950286807,23.0,6.4,4.2,47.6
"Ginger, dried, ground",333.8910133843212,9.0,4.2,57.5,14.1
Mustard powder,547.0841300191204,29.4,39.5,17.2,5.0
"Nutmeg, dried, ground",499.52198852772466,5.8,36.3,28.5,20.8
"Oregano, dried",261.95028680688335,9.0,4.3,26.4,42.5
"Paprika, dry powder",313.3365200764818,14.1,12.9,19.1,34.9
"Pepper, black, ground",276.2906309751434,10.4,3.3,38.6,25.3
"Rosemary, dried",314.05353728489484,4.9,15.2,20.4,42.6
"Sage, dried",315.4875717017208,10.6,12.8,20.4,40.3
"Thyme, dried, ground",282.50478011472273,9.1,7.4,26.9,37.0
"Turmeric, dried, ground",291.3479923518164,9.7,3.2,44.4,22.7
"Salt substitute, potassium chloride",0.0,0.0,0.0,0.0,0.0
"Salt, table, iodised",0.0,0.0,0.0,0.0,0.0
"Salt, table, non-iodised",0.0,0.0,0.0,0.0,0.0
"Stock, dry powder or cube",215.10516252390056,11.3,8.9,22.5,0.0
"Stock, liquid, all flavours (except fish), prepared from commercial powder or cube",4.3021032504780115,0.2,0.2,0.4,0.0
"Taco seasoning mix, chilli-based",319.07265774378584,6.2,4.8,58.1,8.7
"Baking powder, dry powder",86.9980879541109,0.8,0.3,19.8,0.4
"Baking soda (bicarbonate), dry powder",0.0,0.0,0.0,0.0,0.0
"Cream of tartar, dry powder",0.4780114722753346,0.0,0.0,0.0,0.2
"Lecithin, soy, granules",626.1950286806883,6.0,62.4,4.9,15.1
"Gelatine, all types",346.3193116634799,84.4,0.4,0.0,0.0
"Vanilla, artificial or imitation",55.21032504780114,0.0,0.0,14.4,0.0
Vanilla bean extract,287.52390057361373,0.1,0.1,12.6,0.0
"Yeast, dry powder",269.12045889101336,36.4,5.0,6.3,26.9
"Beer, high alcohol (5% v/v & above)",41.58699808795411,0.5,0.0,2.1,0.0
"Beer, full strength (alcohol 4-4.9% v/v)",36.32887189292543,0.4,0.0,2.3,0.0
"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",30.11472275334608,0.3,0.0,1.0,0.0
"Beer, mid-strength (alcohol 3-3.9% v/v)",30.592734225621413,0.3,0.0,2.2,0.0
"Beer, light (alcohol 1-2.9% v/v)",23.900573613766728,0.2,0.0,2.2,0.0
"Alcoholic beverage, spirit, ~30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",72.17973231357553,0.0,0.0,0.3,0.0
"Alcoholic beverage, spirit, ~40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",213.19311663479922,0.0,0.0,0.1,0.0
"Cider, apple (alcohol ~4-5% v/v)",49.95219885277246,0.0,0.0,5.6,0.0
Mirin,168.7380497131931,0.3,0.0,26.6,0.0
"Wine, red",80.06692160611854,0.2,0.0,0.2,0.0
"Wine, red, cabernet sauvignon",79.34990439770554,0.3,0.0,0.2,0.0
"Wine, red, merlot",78.8718929254302,0.3,0.0,0.4,0.0
"Wine, red, pinot noir",76.7208413001912,0.2,0.0,0.2,0.0
"Wine, red, shiraz",81.73996175908222,0.2,0.0,0.2,0.0
"Wine, red, sparkling",80.78393881453154,0.2,0.0,2.0,0.0
"Wine, red, cooked",28.680688336520074,0.3,0.0,0.2,0.0
"Wine, rose",69.07265774378585,0.2,0.0,0.7,0.0
"Wine, white, sauvignon blanc",70.74569789674952,0.2,0.0,0.1,0.0
"Wine, white, semillon",64.53154875717017,0.2,0.0,0.2,0.0
"Wine, white, chardonnay",74.09177820267686,0.3,0.0,0.3,0.0
"Wine, white, riesling",69.78967495219885,0.2,0.0,0.4,0.0
"Wine, white",71.94072657743786,0.3,0.0,0.2,0.0
"Wine, white, cooked",25.5736137667304,0.2,0.0,0.3,0.0
"Wine, white, sparkling",73.1357552581262,0.2,0.0,1.0,0.0
"Wine, white, sweet dessert style",118.78585086042064,0.4,0.0,14.7,0.0
"Wine, fortified, port",143.40344168260037,0.2,0.0,12.4,0.0
"Wine, fortified, sherry, dry style (~1% sugars)",103.96749521988527,0.1,0.0,1.2,0.0
"Wine, fortified, sherry, sweet style (~11% sugars)",137.90630975143404,0.2,0.0,11.1,0.0
"Beverage base, chocolate flavour, added vitamins & minerals (Milo)",385.038240917782,12.4,9.9,60.1,6.8
"Beverage base, chocolate flavour, unfortified (Nesquik brand)",376.1950286806883,5.3,2.8,83.2,5.8
"Beverage base, drinking chocolate, unfortified",360.4206500956023,5.6,4.8,76.3,1.5
Cocoa powder,319.07265774378584,22.1,15.2,10.5,27.7
"Beverage, chocolate flavour, from Milo powder, with regular fat cow's milk",92.97323135755258,4.1,4.0,10.2,0.6
"Beverage, chocolate flavour, from Nesquik powder, with regular fat cow's milk",81.73996175908222,3.4,3.4,9.7,0.3
"Beverage, chocolate flavour, from drinking chocolate, with regular fat cow's milk",84.8470363288719,3.5,3.5,10.2,0.1
"Protein powder, hemp seed based",334.6080305927342,35.8,13.5,4.4,27.8
"Protein powder, whey based, protein >70%, unfortified",374.7609942638623,85.0,2.2,1.6,1.8
"Protein powder, whey based, protein >70%, unfortified, prepared with water",62.380497131931165,14.2,0.4,0.3,0.3
"Coffee, instant, dry powder or granules",140.53537284894836,18.0,0.3,3.6,20.6
"Coffee, instant, dry powder or granules, decaffeinated",140.53537284894836,18.0,0.3,3.6,20.6
"Coffee mix, with beverage whitener & sugar, dry powder",393.1644359464627,13.1,12.7,56.1,3.6
"Coffee, prepared from coffee mix with sugar & whitener, no added milk",19.59847036328872,0.6,0.6,2.8,0.2
"Coffee, black, from instant coffee powder",1.9120458891013383,0.2,0.0,0.2,0.1
"Coffee, black, from instant coffee powder, decaffeinated",1.9120458891013383,0.2,0.0,0.2,0.1
"Coffee, espresso, from ground coffee beans",9.560229445506693,1.7,0.3,0.0,0.0
"Coffee, long black, from ground coffee beans",1.9120458891013383,0.3,0.1,0.0,0.0
"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cow's milk",46.84512428298279,2.8,2.6,3.4,0.0
"Cordial base, 25% citrus fruit juice, regular",144.83747609942637,0.0,0.0,37.3,0.0
"Cordial base, 40% citrus fruit juice, regular",157.50478011472273,0.2,0.0,40.2,0.0
"Cordial base, blackcurrant juice, regular",174.71319311663478,0.1,0.0,45.0,0.0
"Cordial base, fruit juice/flavours, intense sweetened or diet",29.39770554493308,0.0,0.0,7.1,0.0
"Cordial, 25% citrus fruit juice, regular, recommended dilution",33.93881453154876,0.0,0.0,8.7,0.0
"Cordial, 40% citrus fruit juice, regular, recommended dilution",36.80688336520076,0.0,0.0,9.4,0.0
"Cordial, blackcurrant juice, regular, recommended dilution",36.089866156787764,0.0,0.0,9.3,0.0
"Cordial, fruit juice/flavours, recommended dilution",25.5736137667304,0.0,0.0,6.5,0.0
"Cordial, fruit juice/flavours, intense sweetened or diet, recommended dilution",2.8680688336520075,0.0,0.0,0.7,0.0
"Juice, apple, commercial, added vitamin C",28.91969407265774,0.2,0.0,7.0,0.2
"Juice, apple & blackcurrant, commercial",38.718929254302104,0.2,0.0,9.3,0.0
"Juice, lemon",26.529636711281068,0.6,0.1,1.8,2.0
"Juice, lime",27.963671128107073,0.8,0.1,1.2,3.6
"Juice, orange, commercial",32.026768642447415,0.8,0.0,6.8,0.3
"Juice, orange & mango, commercial",34.894837476099426,0.6,0.0,7.7,0.2
"Juice, vegetable blend, commercial",16.96940726577438,0.9,0.0,2.7,0.6
"Fruit drink, apple juice",32.74378585086042,0.1,0.0,8.2,0.0
"Fruit drink, blackcurrant, commercial",38.24091778202677,0.2,0.0,9.8,0.0
"Fruit drink, cranberry",47.08413001912046,0.0,0.0,12.2,0.1
"Fruit drink, orange juice",39.19694072657744,0.2,0.0,9.6,0.1
"Soft drink, cola flavour",49.235181644359464,0.0,0.2,12.3,0.0
"Soft drink, cola flavour, decaffeinated",49.235181644359464,0.0,0.2,12.3,0.0
"Soft drink, cola flavour, intense sweetened or diet",0.0,0.0,0.0,0.0,0.0
