food_name,calories,protein_g,fat_g,carbs_g,fibre_g
margarine with yoghurt,88.0,0.058,9.8,0.073,0.0
sunflower seed butter,99.0,2.8,8.8,3.7,0.9
hazelnut oil,120.0,0.0,13.6,0.0,0.0
menhaden fish oil,1966.0,0.0,218.0,0.0,0.0
cod liver fish oil,123.0,0.0,13.6,0.0,0.0
sardine oil,123.0,0.0,13.6,0.0,0.0
cupu assu oil,120.0,0.0,13.6,0.0,0.0
lard,115.0,0.0,12.8,0.0,0.0
sesame butter,94.0,2.9,8.1,3.8,0.9
margarine spread,59.0,0.082,6.7,0.1,0.0
lard vegetable oil,115.0,0.0,12.8,0.0,0.0
shortening,113.0,0.0,12.8,0.0,0.0
vegetable oil spread,75.0,0.007,8.4,0.1,0.0
cottonseed oil,120.0,0.0,13.6,0.0,0.0
vegetable oil spread fat free,6.0,0.2,0.5,0.4,0.0
soy margarine,88.0,0.0,9.9,0.0,0.0
margarine with salt,100.0,0.031,11.3,0.017,0.0
margarine,102.0,0.037,11.5,0.018,0.0
salmon fish oil,123.0,0.0,13.6,0.0,0.0
nutmeg butter oil,1927.0,0.0,218.0,0.0,0.0
almond butter,98.0,3.4,8.9,3.0,1.6
sour cream shoprite,60.0,0.0,5.0,1.0,0.0
ucuhuba butter oil,120.0,0.0,13.6,0.0,0.0
chicken fat,115.0,0.0,12.8,0.0,0.0
herring fish oil,123.0,0.0,13.6,0.0,0.0
bacon grease,39.0,0.0,4.3,0.0,0.0
turkey fat,45.0,0.0,5.0,0.0,0.0
beef tallow,115.0,0.0,12.8,0.0,0.0
goose fat,45.0,0.0,5.0,0.0,0.0
duck fat,44.0,0.0,5.0,0.0,0.0
mutton tallow,45.0,0.0,5.0,0.0,0.0
grapeseed oil,120.0,0.0,13.6,0.0,0.0
sheanut oil,1927.0,0.0,218.0,0.0,0.0
almond oil,120.0,0.0,13.6,0.0,0.0
sunflower oil,120.0,0.0,13.6,0.0,0.0
cashew butter,94.0,2.8,7.9,4.4,0.3
canola oil,124.0,0.0,14.0,0.0,0.0
babassu oil,1927.0,0.0,218.0,0.0,0.0
teaseed oil,120.0,0.0,13.6,0.0,0.0
avocado oil,124.0,0.0,14.0,0.0,0.0
vegetable palm kernel oil,117.0,0.0,13.6,0.0,0.0
coconut oil,117.0,0.0,13.6,0.0,0.0
safflower oil,120.0,0.0,13.6,0.0,0.0
vegetable oil,120.0,0.0,13.6,0.0,0.0
apricot kernel oil,40.0,0.0,4.5,0.0,0.0
peanut oil,119.0,0.0,13.5,0.0,0.0
poppyseed oil,120.0,0.0,13.6,0.0,0.0
flaxseed oil,120.0,0.086,13.6,0.0,0.0
tomatoseed oil,1927.0,0.0,218.0,0.0,0.0
wheat germ oil,120.0,0.0,13.6,0.0,0.0
sesame oil,40.0,0.0,4.5,0.0,0.0
corn granola oil,124.0,0.0,14.0,0.0,0.0
cocoa butter oil,120.0,0.0,13.6,0.0,0.0
olive oil,119.0,0.0,13.5,0.0,0.0
palm kernel oil,40.0,0.0,4.5,0.0,0.0
mustard oil,124.0,0.0,14.0,0.0,0.0
rice bran oil,120.0,0.0,13.6,0.0,0.0
vegetable macaroni dry,308.0,11.0,0.9,62.9,3.6
chow mein noodles,257.0,5.9,9.9,37.5,1.5
chinese noodles,456.0,0.2,0.094,111.9,0.7
vegetable macaroni cooked,172.0,6.1,0.1,35.7,5.8
corn pasta dry,375.0,7.8,2.2,83.2,11.6
egg noodles dry,146.0,5.4,1.7,27.1,1.3
whole wheat spaghetti dry,98.0,4.1,0.4,21.2,0.0
japanese soba noodles dry,95.0,4.1,0.2,21.1,0.0
rice noodles dry,103.0,1.0,0.2,23.6,0.5
spinach spaghetti dry,105.0,3.8,0.4,21.2,3.0
egg noodles cooked,110.0,3.6,1.7,20.1,1.0
japanese somen noodles cooked,231.0,7.0,0.3,48.5,0.0
whole wheat macaroni dry,365.0,15.4,1.5,78.8,8.7
pasta marinara and ground beef sauce,41.0,2.5,1.6,4.1,0.5
macaroni raw,390.0,13.7,1.6,78.4,3.4
spaghetti dry,105.0,3.7,0.4,21.1,0.9
fusilli cucina,100.0,0.0,0.4,3.4,0.0
japanese somen noodles dry,101.0,3.2,0.2,21.0,1.2
pasta cooked,301.0,11.8,2.4,57.3,0.0
macaroni cooked,221.0,8.1,1.3,43.2,2.5
spinach egg noodles dry,145.0,5.6,1.7,26.7,2.6
japanese soba noodles cooked,113.0,5.8,0.1,24.4,0.0
rice noodles cooked,190.0,3.2,0.4,42.3,1.8
whole wheat macaroni cooked,174.0,7.5,0.8,37.2,3.9
spaghetti cooked,363.0,13.3,2.1,71.0,4.1
whole wheat spaghetti cooked,174.0,7.5,0.8,37.2,6.3
waffle,218.0,5.9,10.6,24.7,0.0
baked taco shell,61.0,0.8,2.7,8.3,0.9
puff pastry,1367.0,18.1,94.3,112.0,3.7
blueberry muffin,214.0,2.6,9.2,30.2,0.6
bread crumbs,427.0,14.4,5.7,77.7,4.9
warm cinnamon roll mcdonalds,113.0,2.0,5.1,15.0,0.5
corn muffin,201.0,3.9,5.5,33.7,2.2
